venue,tau_bin,gap_bin,n,b_mean,b_std,spread_med
polymarket,30,15,34,0.505,0.0,0.010000000000000009
polymarket,30,17.5,7,0.505,0.0,0.010000000000000009
polymarket,30,20,1,0.9984999999999999,,0.0010000000000000009
polymarket,30,30,21,0.505,0.0,0.010000000000000009
polymarket,60,-25,2,0.02,0.007071067811865477,0.009999999999999998
polymarket,60,-22.5,1,0.015,,0.01
polymarket,60,-20,40,0.29725,0.24473415718347877,0.010000000000000009
polymarket,60,-17.5,5,0.309,0.2683840531775314,0.010000000000000009
polymarket,60,-15,54,0.4868518518518518,0.09340667977556324,0.010000000000000009
polymarket,60,-12.5,30,0.505,0.0,0.010000000000000009
polymarket,60,-10,95,0.4276526315789474,0.17960885506418994,0.010000000000000009
